"","Player.Name","Team","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","NA","Rank","Tier"
"65","Larry Donnell","NYG","  vs.  IND",49,100,64.884615384615,12.54783745719,NA,65,"12"
"66","Wes Welker","DEN","  at  NE",19,113,65.096153846154,20.792250419683,NA,66,"12"
"67","Cecil Shorts","JAC","  at  CIN",24,112,67.596153846154,14.626450770101,NA,67,"12"
"68","Darren McFadden","OAK","  at  SEA",26,111,66.333333333333,12.066265836697,NA,68,"12"
"69","Cordarrelle Patterson","MIN","  vs.  WAS",30,88,67.607843137255,10.832193179289,NA,69,"12"
"70","Jason Witten","DAL","  vs.  ARI",40,101,71.230769230769,13.169918206357,NA,70,"13"
"71","Bobby Rainey","TB","  at  CLE",17,144,72.961538461538,26.004409048099,NA,71,"13"
"72","Donte Moncrief","IND","  at  NYG",36,134,73.980769230769,19.352489786762,NA,72,"13"
"73","Torrey Smith","BAL","  at  PIT",39,105,75.25,12.411029524022,NA,73,"13"
"74","Percy Harvin","NYJ","  at  KC",35,143,72.64,18.680214131535,NA,74,"13"
"75","Andre Williams","NYG","  vs.  IND",32,111,76.038461538462,16.186368360755,NA,75,"14"
"76","Greg Jennings","MIN","  vs.  WAS",36,95,76.596153846154,11.422413215632,NA,76,"14"
"77","James Jones","OAK","  at  SEA",36,99,76.711538461538,12.52741077438,NA,77,"14"
"78","Travaris Cadet","NO","  at  CAR",25,130,77.490196078431,21.410435928029,NA,78,"14"
"79","Heath Miller","PIT","  vs.  BAL",52,127,79.134615384615,16.021654632396,NA,79,"14"
"80","Martavis Bryant","PIT","  vs.  BAL",43,111,75.571428571429,13.916661574809,NA,80,"14"
